,context,question,answer
373,"CHAPTER XXXVI. The Glory and the Dream 

On the morning when the final results of all the examinations were to be posted on the bulletin board at Queen's, Anne and Jane walked down the street together. Jane was smiling and happy; examinations were over and she was comfortably sure she had made a pass at least; further considerations troubled Jane not at all; she had no soaring ambitions and consequently was not affected with the unrest attendant thereon. For we pay a price for everything we get or take in this world; and although ambitions are well worth having, they are not to be cheaply won, but exact their dues of work and self-denial, anxiety and discouragement. Anne was pale and quiet; in ten more minutes she would know who had won the medal and who the Avery. Beyond those ten minutes there did not seem, just then, to be anything worth being called Time. 

""Of course you'll win one of them anyhow,"" said Jane, who couldn't understand how the faculty could be so unfair as to order it otherwise. 

""I have not hope of the Avery,"" said Anne. ""Everybody says Emily Clay will win it. And I'm not going to march up to that bulletin board and look at it before everybody. I haven't the moral courage. I'm going straight to the girls' dressing room. You must read the announcements and then come and tell me, Jane. And I implore you in the name of our old friendship to do it as quickly as possible. If I have failed just say so, without trying to break it gently; and whatever you do DON'T sympathize with me. Promise me this, Jane."" ",Who joined her on her walk?,Anne and Jane walked down the street together
374,"Aruba is a constituent country of the Kingdom of the Netherlands in the southern Caribbean Sea, located about west of the main part of the Lesser Antilles and north of the coast of Venezuela. It measures long from its northwestern to its southeastern end and across at its widest point. Together with Bonaire and Curaçao, Aruba forms a group referred to as the ABC islands. Collectively, Aruba and the other Dutch islands in the Caribbean are often called the Dutch Caribbean. 

Aruba is one of the four countries that form the Kingdom of the Netherlands, along with the Netherlands, Curaçao, and Sint Maarten; the citizens of these countries are all Dutch nationals. Aruba has no administrative subdivisions, but, for census purposes, is divided into eight regions. Its capital is Oranjestad. 

Unlike much of the Caribbean region, Aruba has a dry climate and an arid, cactus-strewn landscape. This climate has helped tourism as visitors to the island can reliably expect warm, sunny weather. It has a land area of and is densely populated, with a total of 102,484 inhabitants at the 2010 Census. It lies outside Hurricane Alley. 

Aruba's first inhabitants are thought to have been Caquetío Amerindians from the Arawak tribe, who migrated there from Venezuela to escape attacks by the Caribs. Fragments of the earliest known Indian settlements date back to 1000 AD. As sea currents made canoe travel to other Caribbean islands difficult, Caquetio culture remained more closely associated with that of mainland South America.",What are it and other Dutch Islands often called?,"other Dutch islands in the Caribbean are often called the Dutch Caribbean. 
"
375,"Mary and Peter were having a picnic with some friends near a river when Mary shouted,""Look!That's a spaceship up there and it's going to land here."" Frightened by the strange spaceship,all the young people got into their cars and drove away as quickly as possible except Peter and Mary. They were more curious than frightened. They watched the spaceship land and saw a door open,but nobody came out,so they went to look into it. In the center of the floor,there was a lot of food. Peter followed Mary into the spaceship and did not hear the door close behind him. The temperature fell in no time and very soon the two young people didn't know anything. When they came to themselves,they were surprised to see that the spaceship disappeared, their car was near them. ""What happened?""asked Mary. Peter scratched his head,saying slowly,""Don't ask me. Perhaps we had a problem. Come on. It's time to go home."" After driving about fifty meters,they found a thick wall made of something like glass stood in their way. On the other side of the wall,a few strange aliens were looking through the wall and reading a notice,it said,""New comers at the zoo: a pair of earth villagers with their _ .""",amd?,their cars and drove away 
376,"Soon after the defeat of the Spanish Armada in 1588, London merchants presented a petition to Queen Elizabeth I for permission to sail to the Indian Ocean. The permission was granted, and despite the defeat of the English Armada in 1589, on 10 April 1591 three ships sailed from Torbay around the Cape of Good Hope to the Arabian Sea on one of the earliest English overseas Indian expeditions. One of them, Edward Bonventure, then sailed around Cape Comorin and on to the Malay Peninsula and subsequently returned to England in 1594. 

This time they succeeded, and on 31 December 1600, the Queen granted a Royal Charter to ""George, Earl of Cumberland, and 215 Knights, Aldermen, and Burgesses"" under the name, Governor and Company of Merchants of London trading with the East Indies. For a period of fifteen years the charter awarded the newly formed company a monopoly on trade with all countries east of the Cape of Good Hope and west of the Straits of Magellan. Sir James Lancaster commanded the first East India Company voyage in 1601 and returned in 1603. and in March 1604 Sir Henry Middleton commanded the second voyage. General William Keeling, a captain during the second voyage, led the third voyage from 1607 to 1610.",How many ships set sail from Torbay?, three ships sailed from Torbay 
377,"CHAPTER II The Population of Compton Poynsett 

He wanted a wife his braw hoose to keep, But favour wi' wooin' was fashous to seek.--Laird o' Cockpen 

In the bright lamplight of the dining-table, the new population first fully beheld one another, and understood one another's looks. 

There was much family resemblance between the five brothers. All were well-grown well-made men, strong and agile, the countenance pleasing, rather square of mould, eyebrows straight and thick, nose well cut and short, chin firm and resolute-looking, and the complexion very dark in Raymond, Frank, and the absent Miles. Frank's eyes were soft, brown, rather pensive, and absent in expression; but Raymond's were much deeper and darker, and had a steadfast gravity, that made him be viewed as formidable, especially as he had lost all the youthful glow of colouring that mantled in his brother's olive cheek; and he had a short, thick, curly brown beard, while Frank had only attained to a black moustache, that might almost have been drawn on his lip with charcoal. 

Charlie was an exception--fair, blue-eyed, rosy, and with a soft feminine contour of visage, which had often drawn on him reproaches for not being really the daughter all his mother's friends desired for her. 

And Julius, with the outlines of the others, was Albino, with transparent skin mantling with colour that contrasted with his snowy hair, eyebrows, and the lashes, veiling eyes of a curious coral hue, really not unpleasing under their thick white fringes, but most inconveniently short of sight, although capable of much work; in fact, he was a curiously perfect pink-and-white edition of his dark and bronzed brother the sailor. ",Did the mother's friends want her to have all boys?,not being really the daughter all his mother's friends desired for her.
378,"Valentine's Day was coming. Helen felt hurt and lonely because this was her first Valentine's Day after the divorce . 

Helen's twelve-year-old son, Jack, looked at his mother, knowing that this was a difficult time for both of them. In order to make his mother happy, he prepared a present, and handed it to her on Valentine's Day. 

It was a beautiful gift package .Helen couldn't believe what was happening. She opened it and took out a lovely card and a small box. 

""Now,"" he said, ""read the card."" It read as follows: 

""I know that this isn't easy for you because it has been a hard year for both of us. I know that Valentine's Day is a special day for people in love. I want you to know that I love you. I know that Valentines are supposed to get chocolate. I went to the store today to buy some for you. Luckily, I got the last piece. I told the clerk it was just perfect."" 

Helen stood there for a moment and looked at her son. Her eyes sparkled in the light as tears formed in each corner. Jack knew he had done the right thing. Slowly she opened the small box, careful not to tear the paper. She would never forget the moment. She found a chocolate heart that was broken into pieces along with a note: 

""I am so sorry that Dad left us, Mom. And all you were left with was a broken heart. But I just want you to know we still have each other. 

Happy Valentine's Day! 

Your son, 

Jack""",Why?,because this was her first Valentine's Day after the divorce
379,"Thomas Edison lit up the world with his invention of the electric light. Without him, the world might still be in the dark. However, the electric light was not his only invention. He also invented the motion picture camera and 1200 other things. About every two weeks he created something new. Thomas Edison was born in 1847. He attended school for only three months. His mother taught him at home, but Thomas was mostly self-educated. He started experimenting at a young age. When he was 12 years old, he got his first job. He became a newsboy on a train. He did experiments on the train in his spare time. Unluckily, his first work experience did not end well. They _ him when he accidentally set fire to the floor of the train. Then Edison worked for five years as a telegraph operator, but he continued to spend much of his time in experimenting his first patent in 1868 for a vote recorder run by electricity. Thomas Edison was totally deaf in one ear and hard of hearing in the other, but he thought of his deafness as a blessing in many ways. It kept conversations short, so that he could have more time for work. He always worked 16 out of every 24hours. Sometimes his wife had to remind him to sleep and eat. Thomas Edison died at the age of 84. He left a great many inventions that greatly improved the quality of life all over the world.",how many other things did he invent?,He also invented the motion picture camera and 1200 other things. 
380,"(CNN) -- Like he does every week, Chris Hardwick hosted ""Talking Dead"" on Sunday night -- but this time, he was coping with a heartbreaking loss. 

His father, Billy Hardwick, died of an apparent heart attack a day earlier. 

Chris Hardwick, who hosts the aftershow for AMC's most-watched series, ""Walking Dead,"" said he decided to continue with his duties because it was an appreciated distraction. 

He said he was grateful that he had a chance to tell his 72-year-old father that he loved him, and encouraged viewers to appreciate their families. 

Billy Hardwick was a Hall of Fame bowler who also appeared on his son's podcast, nerdist. 

""My dad was my favorite podcast guest. He was amazingly open and it brought us closer,"" Chris Hardwick tweeted Saturday. 

According to the Professional Bowling Association, Billy Hardwick's career took off after ""one of the greatest turnarounds in professional bowling history."" 

He went from a rookie in 1962 to winning four titles the next season. 

After he retired, he opened Billy Hardwick's All-Star Lanes in Memphis, Tennessee. 

People we lost in 2013 

CNN's Susan Candiotti contributed to this report. 

",Then what happened next season?, winning four titles the next season
381,"(CNN) -- Senegal's octogenarian incumbent president is seeking a third term Sunday, a bid that has sparked deadly protests and threatened the nation's reputation as one of the most stable democracies in Africa. 

The incumbent 

Abdoulaye Wade, 85, came to power in 2000 after multiple unsuccessful runs. One of the continent's oldest leaders, the French-trained lawyer also has a degree in economics. He is seeking a third term against a crowded field of 13 others, including two women. 

He was initially credited with boosting the nation's infrastructure, but his critics have accused him of autocracy and said he is grooming his son to take over after him. 

Others have accused the leader of grandiose investments, including a costly towering monument near the capital of Dakar that sparked criticism in a country where poverty is still rife. 

Other contenders include Ousmane Tanor Dieng, Moustapha Niasse and Macky Sall, the latter of whom considered Wade a mentor. 

Why are protesters against his run? 

Senegalese protesters have taken to the streets nationwide since Wade won a court bid to run for a third term despite a constitutional limit mandating two terms. Wade successfully argued that he is exempt because he took office before the term limit was put in place. 

Wade is among a list of elderly leaders clinging to power in sub-Saharan Africa despite demands for them to step down. Zimbabwean President Robert Mugabe used his recent 88th birthday to lash out at critics and vowed to run for re-election. 

The opposition has said it will protest if Wade wins, but analysts say a lack of cohesion among foes and a system that favors the incumbent make it harder to unseat Wade, who is nicknamed the ""hare"" for his shrewd politics. ",How many terms has he had so far?,Senegal's octogenarian incumbent president is seeking a third term
382,"Four years after Michael Jackson died, his oldest son is ready to tell a jury about the last days of his life. 

Prince Jackson, now 16, was 12 when he followed an ambulance carrying his father to Ronald Reagan UCLA Medical Center on the afternoon of June 25, 2009. 

On Monday, in the Jackson family's wrongful death lawsuit, Jackson lawyers informed AEG Live attorneys that Prince will be the next witness after a doctor who is an expert in medical conflicts of interest completes his testimony Tuesday. 

That would likely put Prince on the stand Wednesday, a day after the fourth anniversary of his father's death. 

Paris Jackson: Superstar's daughter builds own identity in spotlight 

Prince, Paris and Blanket Jackson and their grandmother Katherine Jackson are suing AEG Live, accusing their father's last concert promoter of negligently hiring, retaining or supervising Dr. Conrad Murray, who was convicted of involuntary manslaughter in Jackson's death. 

Jackson lawyers argue that the promoter and producer of the ""This Is It"" shows pressured Murray to get Jackson to rehearsals but failed to get Jackson help despite numerous red flags that he was in trouble. 

Murray told police he used the surgical anesthetic propofol nearly every night for two months to treat Jackson's insomnia. The coroner ruled that an overdose of propofol killed him. 

AEG Live lawyers argue that Jackson chose and supervised Murray and that their executives had no way of knowing the doctor was using the dangerous treatment. 

Remembering Michael Jackson's music 

A medical conflict of interest ",How old is he at the time of the article?,"Four years after Michael Jackson died, his oldest son is ready to tell a jury about the last days of his life. 

Prince Jackson, now 16,"
383,"CHAPTER XIX--HOW NORMAN LESLIE RODE AGAIN TO THE WARS 

Tidings of these parleys, and marches, and surrenders of cities came to us at Tours, the King sending letters to his good towns by messengers. One of these, the very Thomas Scott of whom I have before spoken, a man out of Rankelburn, in Ettrick Forest, brought a letter for me, which was from Randal Rutherford. 

""Mess-John Urquhart writes for me, that am no clerk,"" said Randal, ""and, to spare his pains, as he writes for the most of us, I say no more than this: come now, or come never, for the Maid will ride to see Paris in three days, or four, let the King follow or not as he will."" 

There was no more but a cross marked opposite the name of Randal Rutherford, and the date of place and day, August the nineteenth, at Compiegne. 

My face fired, for I felt it, when I had read this, and I made no more ado, but, covenanting with Thomas Scott to be with him when he rode forth at dawn, I went home, put my harness in order, and hired a horse from him that kept the hostelry of the ""Hanging Sword,"" whither also I sent my harness, for that I would sleep there. This was all done in the late evening, secretly, and, after supper, I broke the matter to my master and Elliot. Her face changed to a dead white, and she sat silent, while my master took the word, saying, in our country speech, that ""he who will to Cupar, maun to Cupar,"" and therewith he turned, and walked out and about in the garden. ",When?,"the date of place and day, August the nineteenth, "
384,"Louisville, Kentucky (CNN) -- A secret audio recording of their biggest election year target -- Sen. Mitch McConnell -- talking to a donor summit arranged by the Koch brothers, the Democrats' 2014 bogeymen. 

Democrats pushed ""The Nation"" story around online with frenetic glee. 

McConnell's Democratic challenger for his Kentucky seat, Alison Lundergan Grimes, couldn't wait to whack him on it, telling CNN in an exclusive interview that ""Mitch McConnell got caught in his 47% Mitt Romney moment."" 

""I think it shows the extent and the lengths he will go to to pander to his party millionaires and billionaires at the expense of hurting Kentuckians,"" Grimes told CNN. 

The problem with the Democrats' argument is that Romney's 47% moment was only a moment because he was saying to donors in private something he would never have dared to utter in public: 

""Forty-seven percent who are with him, who are dependent upon government, who believe that they are victims, who believe that government has a responsibility to care for them, who believe that they are entitled to health care, to food, to housing, to you name it. That that's an entitlement,"" Romney said behind closed doors about President Obama's supporters in 2012. 

But unlike Romney, what McConnell said to the Koch brothers are things he has said in public, and more importantly, his comments mirror positions he has publicly backed with actual Senate votes: opposition to Democrats' plans to increase the minimum wage, extend unemployment insurance and make student loans more affordable through the tax system. ",Who are the Koch brothers?,"the Koch brothers, the Democrats' 2014 bogeymen. "
385,"Nick was so happy to finally meet his cousin. Just this morning he found out what a cousin is. A cousin is somebody who has the same grandmother and grandfather as you. He didn't even know he had a cousin and now they were going to play together. This was going to be a great day. Right after he ate lunch and had a quick piece of candy for snack he pulled out the letter that his cousin Chris wrote to him. He read it over and over again. They liked so many of the same things, like riding bikes and playing games. It was only twelve o'clock and Nick did not know if he would make it until Chris got here. He had two more hours to go. Nick fell asleep as he was reading a book and woke up to the sound of a car outside. It must be them! He jumped up and ran downstairs and right out the door to the car. That's when he saw Chris through the car window. Nick was really surprised. Chris had a ponytail! Chris was a girl! It turned out that Nick still really liked his cousin Chris, even if she was a girl.",What did they both like,riding bikes and playing games
386,"JAKARTA, INDONESIA ---Walking with long steps and his smile lighting up a rainy afternoon, Barack Obama seems to have arrived to visit a school he attended as a boy.But wait.He's not real Obama.The US president is back in Washington, D.C.. 

So who is this guy?He's IIham Anas,34,magazine photographer who has taken advantage of his perfect resemblance to Obama and turned it into his own wealth.[ 

Since 2007, Anas' s face and big smile have been seen on Southeast Asian TV and the Internet, and in advertisements.Anas's resemblance to the president has turned his life around 180 degrees. 

When his sister first mentioned the resemblance, _ .Then a friend asked him to pose as Obama in front of a US flag.He also refused.""I'm a photographer, not an object for the camera,"" he said. 

However, as soon as he accepted the idea, his career took off.The father of two children is rarely at home these days.Recently a group of reporters followed him on a tour of the school Obama once attended.Anas sat in the classroom where the present US president once studied.He spoke a few lines in English.The moment he opened his mouth, however, the differences became clear.""Obama is a baritone ,""Anas said.""I'm not.I sound like a little boy."" He is also shorter than the president, but he makes up for that by practicing Obama's typical actions. 

He used to dislike looking into the mirror because of his average appearance.Now he no longer considers himself as an average guy, but a superstar.Looking like a president is a good thing, Anas says.""How else could a person like me travel the world and meet all kinds of people? I'm really just a shy guy."" 

He says he has made a request to meet President Obama when he arrives, but he hasn't heard back from the president's schedules. 

Now, Anas hopes that Obama will win a second term in the White House.""The longer he's in office, the longer my fame will last,"" he said.",Where is the US President?,"back in Washington, D.C."
387,"Evolutionary biology is the subfield of biology that studies the evolutionary processes that produced the diversity of life on Earth, starting from a single common ancestor. These processes include natural selection, common descent, and speciation. 

The discipline emerged through what Julian Huxley called the modern synthesis (of the 1930s) of understanding from several previously unrelated fields of biological research, including genetics, ecology, systematics and paleontology. 

Current research has widened to cover the genetic architecture of adaptation, molecular evolution, and the different forces that contribute to evolution including sexual selection, genetic drift and biogeography. The newer field of evolutionary developmental biology (""evo-devo"") investigates how embryonic development is controlled, thus creating a wider synthesis that integrates developmental biology with the fields covered by the earlier evolutionary synthesis. 

Evolution is the central unifying concept in biology. Biology can be divided in various ways. One way is by the level of biological organisation, from molecular to cell, organism to population. An earlier way is by perceived taxonomic group, with fields such as zoology, botany, and microbiology, reflecting what were once seen as the major divisions of life. A third way is by approach, such as field biology, theoretical biology, experimental evolution, and paleontology. These alternative ways of dividing up the subject can be combined with evolutionary biology to create subfields like evolutionary ecology and evolutionary developmental biology.",Can you provide an example?, from molecular to cell
388,"Ashton Carter, the former second-in-command at the Pentagon, appears to be the top choice to replace outgoing Secretary Chuck Hagel. 

Barring any last minute complications, Ash Carter will be President Barack Obama's choice as the new Secretary of Defense, several U.S. administration officials told CNN. 

An administration official had said that Homeland Security Secretary Jeh Johnson, a former General Counsel at the Pentagon, was also still on the list of possibilities, but on Tuesday morning, sources said Johnson was no longer being considered. The prospect of an additional confirmation hearing for Johnson's replacement if he were to move to the Pentagon as the Senate switches to Republican control would have been problematic for the White House. 

Related: Was Hagel doomed from the start? 

Hagel announced his resignation last week, but has said he will stay on until his successor is confirmed by the Senate. 

Carter, who served as Deputy Defense Secretary under both Leon Panetta and Hagel, would bring a wide range of experience to a department confronting multiple crises in the Middle East and preparing to enter a new phase in Afghanistan as the NATO combat mission ends. 

Carter's ability to hit the ground running from his past experience at the Pentagon, in addition to the respect many senior military leaders have for him are seen as major benefits to winning confirmation should Obama nominate him. 

""His career has sort of prepared him perfectly for this kind of a moment,"" says Michael O'Hanlon, a defense industry analyst at the Brookings Institution. ",where?,Pentagon
389,"CHAPTER XXIII. 

THE TOWN ORDINANCE. 

The news which Dick carried to Sawyer was sufficient to create a great excitement in that naturally quiet little town. In addition to what looked like an attempted murder, was the fact that George Harnett, whom they had all respected before the conflagration, and admired after it, was the intended victim. 

There was no need for Dick to urge that officers be sent to try to effect the capture of the scoundrels, for almost before he had finished telling the story, a large party of citizens started in search of the men, determined that they should answer for their crime. 

Therefore, when Dick returned, it was with so large a following that the physicians rushed out in the greatest haste to insist on their keeping at a respectful distance from the house, lest the noise might affect their patient. 

Bob and his partners were anxious to join in the search, and urged Ralph to accompany them, since he could do no good to George by remaining; but he refused to leave his friend, even though he could not aid him, and the party started without him, a look of determination on their faces that boded no good to the professed oil prospectors in case they should be caught. 

During all of that night Ralph remained with George, listening to his delirious ravings, as he supposed he was still battling for his life with the men, and just at daybreak Bob returned alone. The search had been even more successful than any of the party had dared to hope for when they set out, for the men had been captured in the woods about four miles from the place where the assault had been made and in the pocket of one of them was the paper from which one corner had been left in George's hand. ",to what ?,delirious ravings
390,"Louisville, Kentucky (CNN) -- I'll Have Another cut loose on the home stretch to run down Bodemeister and earn the first Kentucky Derby wins for his rider and trainer Saturday. 

I'll Have Another, with a finish of 2:01:83, earned nearly $1.5 million of the $2.2 million purse. 

That's quite a payoff for a horse that was purchased last year for the modest sum of $35,000. 

Jockey Mario Gutierrez, making his Derby debut, called I'll Have Another a steady competitor. 

""They didn't believe (I'll Have Another) could have made it this far,"" Gutierrez said. ""But even if they wanted me to pick (any horse in the field), I would have stayed with him."" 

The winner had 15-1 odds; Bodemeister was at 4-1, according to the Derby website. Dullahan, with 12-1 odds, also made a late run and finished third. 

I'll Have Another defeated Bodemeister by more than one length at the 1Â¼-mile classic, attended by a record Churchill Downs crowd. 

The 138th running was marked by a couple of other Derby firsts: It was the first victory for trainer Doug O'Neill and the first win from the No. 19 post position with a full field. 

O'Neill called Gutierrez ""the man"" for his own performance. 

""He was just so confident,"" O'Neill told NBC. ""We had such a brilliant race."" 

Bob Baffert, a Derby stalwart and the trainer of Bodemeister, said he was ""really proud of the way"" his horse ran. 

""He just came up a little tired,"" Baffert told NBC afterward. 

Having won all three races he's participated in this year, O'Neill said he was excited for the next leg of the Triple Crown -- the 137th edition of the Preakness, set for May 19 in Baltimore. ""Maryland, here we come,"" he said. ",who rode him?,"Jockey Mario Gutierrez, making his Derby debut, called I'll Have Another a steady competitor. 
"
391,"In logic, a logical connective (also called a logical operator, sentential connective, or sentential operator) is a symbol or word used to connect two or more sentences (of either a formal or a natural language) in a grammatically valid way, such that the value of the compound sentence produced depends only on that of the original sentences and on the meaning of the connective. 

The most common logical connectives are binary connectives (also called dyadic connectives) which join two sentences which can be thought of as the function's operands. Also commonly, negation is considered to be a unary connective. 

Logical connectives along with quantifiers are the two main types of logical constants used in formal systems such as propositional logic and predicate logic. Semantics of a logical connective is often, but not always, presented as a truth function. 

A logical connective is similar to but not equivalent to a conditional operator. 

In the grammar of natural languages two sentences may be joined by a grammatical conjunction to form a ""grammatically"" compound sentence. Some but not all such grammatical conjunctions are truth functions. For example, consider the following sentences: 

The words ""and"" and ""so"" are ""grammatical"" conjunctions joining the sentences (A) and (B) to form the compound sentences (C) and (D). The ""and"" in (C) is a ""logical"" connective, since the truth of (C) is completely determined by (A) and (B): it would make no sense to affirm (A) and (B) but deny (C). However, ""so"" in (D) is not a logical connective, since it would be quite reasonable to affirm (A) and (B) but deny (D): perhaps, after all, Jill went up the hill to fetch a pail of water, not because Jack had gone up the hill at all.",Did jack go up the hill?,not because Jack had gone up the hill at all.
392,"CHAPTER XXVI 

A LIVELY GAME OF BASEBALL 

If ever a boy was mad clear through that boy was the sneak of Putnam Hall. As the laugh ended, Mumps shook his fist at one and another of his tormentors. 

""Think you are smart, don't you?"" he spluttered in his rage. ""I'll fix you all! I'll go and tell Captain Putnam all about this spread, and then maybe you won't catch it!"" 

""Mumps, keep quiet,"" said Dick, placing himself between the enraged one and the door. ""Make too much noise, and I'll promise you the worst drubbing you ever received."" 

""If you peach on me, I'll give you a second whipping,"" added Tom. 

""This is a gentlemanly affair,"" put in Larry. 

""The boy who gives us away gets a thrashing from me."" 

""Ditto myself,"" said Frank; and several others said the same. All looked so determined that Mumps fell back in alarm. 

""You let me go,"" he whined. ""I don't want to stay here any longer."" 

""You can't go until you promise to keep quiet,"" said Dick. 

""And you'll promise right now,"" cried Tom, seizing a pitcher of ice water that had been hidden under one of the stands. Leaping on a bed he held the pitcher over Mumps' head. 

""Promise, quick, or I'll let her go!"" he went on. 

""Oh, don't!"" yelled Mumps, as a few drops of the water landed on his head and ran down his neck. 

""Do you promise to keep silent?"" demanded Dick. 

""Yes, yes!"" 

""All right. Now mind, if you break that promise you are in for at least ten good whippings."" ",Did he threaten Mumps?,"""Make too much noise, and I'll promise you the worst drubbing you ever received"
393,"CHAPTER XXIII 

DOWN THE STATEN ISLAND SHORE TO SANDY HOOK 

""Dick! Dick! What ails you?"" 

""My head, Sam! Arnold Baxter struck me down,"" came with a groan. 

""Can you get up? We want to follow them,"" cried Tom, as he caught his brother by the arm. He had just reached the factory on a dead run, lantern in hand, to find Dick. 

""I guess I can stand, Tom. But I can't run yet."" 

""Here, take the lantern and I'll carry you,"" came quickly, and in a moment more Tom Rover had Dick on his back and was running for the _Searchlight_ as rapidly as the nature of the meadow land permitted, Dick holding the light over his head so that both might see. 

The alarm had now become general, and by the time the yacht was gained two police officers, who had been on the hunt for harbor thieves, appeared. 

""What's the row about?"" demanded one of the officers of the law, as he came into view. 

""Is that an officer?"" questioned Dick feebly, 

""I am an officer--yes."" 

""We are after some thieves and some parties who have abducted a girl. Will you help us?"" 

""Certainly, if what you say is true. Where is the crowd?"" 

""They ran off in that direction,"" came from Sam, as he loomed up out of the darkness. ""They have a yacht out there somewhere."" 

""Then we can't catch them--unless we get a boat,"" answered Sergeant Brown. 

""We have a boat, out this way,"" and Sam pointed with his hand. ""But I guess we had better make certain that they go out first."" ",Who was Tom?,"Tom, as he caught his brother"
394,"A music genre is a conventional category that identifies some pieces of music as belonging to a shared tradition or set of conventions. It is to be distinguished from ""musical form"" and ""musical style"", although in practice these terms are sometimes used interchangeably. Recently, academics have argued that categorizing music by genre is inaccurate and outdated. 

Music can be divided into different genres in many different ways. The artistic nature of music means that these classifications are often subjective and controversial, and some genres may overlap. There are even varying academic definitions of the term ""genre ""itself. In his book ""Form in Tonal Music"", Douglass M. Green distinguishes between genre and form. He lists madrigal, motet, canzona, ricercar, and dance as examples of genres from the Renaissance period. To further clarify the meaning of ""genre"", Green writes, ""Beethoven's Op. 61 and Mendelssohn's Op. 64 are identical in genre – both are violin concertos – but different in form. However, Mozart's Rondo for Piano, K. 511, and the ""Agnus Dei"" from his Mass, K. 317 are quite different in genre but happen to be similar in form."" Some, like Peter van der Merwe, treat the terms ""genre"" and ""style"" as the same, saying that ""genre"" should be defined as pieces of music that share a certain style or ""basic musical language."" Others, such as Allan F. Moore, state that ""genre"" and ""style"" are two separate terms, and that secondary characteristics such as subject matter can also differentiate between genres. A music genre or subgenre may also be defined by the musical techniques, the style, the cultural context, and the content and spirit of the themes. Geographical origin is sometimes used to identify a music genre, though a single geographical category will often include a wide variety of subgenres. Timothy Laurie argues that since the early 1980s, ""genre has graduated from being a subset of popular music studies to being an almost ubiquitous framework for constituting and evaluating musical research objects"".",Are these objective categorizations?,these classifications are often subjective
395,"(CNN) -- Spain coach Vicente del Bosque has included three uncapped players in his final 23-man squad for the World Cup in South Africa. 

Winger Pedro Rodriguez, 22, was named along with his Barcelona teammate Victor Valdes, who edged out 19-year-old David De Gea and Villarreal's Diego Lopez for the third goalkeeping place. 

De Gea's 21-year-old clubmate Javi Martinez was handed a midfield berth, having impressed as Atletico Madrid won the UEFA Europa League this season and reached the final of the Spanish Cup. 

""They have had a good season, they are coming to strengthen the squad as substitutes for other players,"" Del Bosque told reporters. 

Martinez's fellow under-21 international, Osasuna defender Cesar Azpilicueta, missed out along with midfielders Santi Cazorla and Marcos Senna, who both featured when Spain won Euro 2008. 

Sevilla striker Alvaro Negredo was also chopped, as was another member of the triumphant 2008 squad, Dani Guiza. 

Del Bosque is giving England-based stars Fernando Torres and Cesc Fabregas every chance to be fit, retaining the duo as they recover from injuries. 

Midfielder Andres Iniesta is also expected to be ready, having returned from a calf problem in the last game of the Spanish league season as Barcelona claimed the title. 

Barcelona's 19-year-old Bojan Krkic, who missed Spain's Euro 2008 success at his own request due to fatigue, did not even make the initial 30-man squad named earlier this month. 

England coach Fabio Capello was forced to go back on his previously iron-clad rules in selecting his preliminary squad for the World Cup. ",Who was handed a midfield berth?,Javi Martinez was handed a midfield berth
396,"Connie Talbot was born on November 20th, 2000. She is an English child singer from Streetly, West Midlands. She is best known for being on ""Britain's Got Talent""(<<>> )when she was just six. She has been singing since she was 19 months old. The song she is most known for is Somewhere over the Rainbow. And now she is touring the country with the UK's biggest children's choir--Young Voices. Do you know what the Young Voices Tour is? Well, it's a great event for children. It is great for them to sing on a big stage with thousands of other children. Everyone waits for the parents to arrive in the evening to watch the children put on a great show. There is so much fun. When the lights turn on, everyone sings together at the same time as one. It's so loud and powerful . Connie loves looking around at the choir and seeing everyone so happy when she was performing. ""We've heard you got a new Guinness world record!"" I asked her. ""Yes! I am very proud. It was amazing to get the Guinness world record for the biggest choir at the back of a singer. I am glad to share that world record with more than 6000 other children present that day,"" she answered.",What song is she best known for?,The song she is most known for is Somewhere over the Rainbow
397,"In their small town there are not very many kids. Joe is 8 years old. Nate is 9 years old. They have been the only two boys since they were born. One day Joe saw a White moving truck down the street from his and Nate's tree house. Joe got really excited and told Nate about it. Nate and Joe waited, hoping to see another boy that could join their club. The Boy's Club started when they were 6 and their dads helped them build their tree house and paint it dark blue. Joe and Nate both wanted more friends so they could play team games like baseball and football. Nate started day dreaming about playing baseball. Joe started thinking about how fun football would be. They don't like playing board games, Go Fish or Old Maid any more. They were both looking out the window of the tree house, waiting for the family to get out of the dark blue van that pulled up next to the moving truck. The sun's bright yellow light made it hard for the boys to see as the van door opened Nate looked close and yelled out ""There are three boys""! Both boys got really excited and started walking down the street toward the new family. Nate broke into a run and brown dust started coming up from the ground behind his feet. Joe started running to catch up to Nate. They made it to the house quickly and one of the new boys gave a strange look as Nate and Joe both held their knees trying to catch their breath. A few seconds later Nate stood up and said, ""Hi I'm Nate and this is Joe. Do you want to join The Boy's Club""? The boy said, ""Sure. Can my brothers be in the club too? And Joe said, ""YES!"" The boy took a step back and said, ""Well, I'm Jacob and my twin's name is Josh. We are 9 and our little brother is Alex. He's 7."" Nate and Joe started planning games and made friends quickly with the new boys.",Were there triplets?,"Well, I'm Jacob and my twin's name is Josh."
